Realité,10,40,50,60,1140,1160,1180,1280,1281,1300,1301,1302,1320,1560,1920,1940,2060,2220,2280,2403,2462,2522,2582,2583,2585,2705,2905
10,345,12,0,0,9,7,9,1,3,0,0,0,1,0,0,2,0,0,32,37,3,2,0,0,0,19,0
40,42,209,18,0,16,12,5,4,10,1,0,1,0,0,0,0,1,1,7,9,29,0,0,0,2,3,0
50,2,3,220,8,5,0,0,1,1,3,0,1,2,2,0,0,1,0,0,0,31,1,0,0,1,0,1
60,0,1,7,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0
1140,15,3,0,0,339,6,9,6,7,2,0,2,4,0,0,2,1,0,3,10,8,3,0,0,0,2,0
1160,8,4,0,0,5,573,6,1,9,0,0,0,0,0,0,1,0,0,8,8,6,0,0,0,0,5,0
1180,4,2,0,0,18,1,61,2,7,0,0,1,1,1,0,0,1,0,2,3,2,0,0,0,0,1,0
1280,7,7,3,1,78,2,6,419,85,60,2,26,16,0,0,2,7,7,3,10,1,6,0,2,4,0,0
1281,8,9,1,2,15,5,11,60,199,0,3,6,1,0,1,2,2,1,2,9,8,1,0,0,2,2,0
1300,2,4,3,0,25,2,7,15,2,725,0,3,2,0,0,0,0,1,2,8,3,1,0,2,0,0,0
1301,0,1,0,0,4,0,0,0,1,0,116,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1302,1,1,0,0,4,1,2,13,11,3,3,319,16,1,0,0,2,3,0,0,0,4,7,6,4,2,0
1320,7,1,1,0,12,1,2,21,4,1,0,9,383,6,4,8,20,1,1,4,3,6,5,0,6,1,0
1560,1,0,3,0,3,0,0,4,2,2,2,0,16,617,23,1,47,5,0,0,1,7,32,1,18,0,0
1920,1,0,0,0,0,0,1,2,0,0,0,0,13,10,625,0,25,2,0,3,2,0,6,3,1,0,0
1940,0,0,0,0,2,0,0,0,1,0,1,0,1,1,0,125,0,3,0,1,0,1,1,0,1,0,0
2060,2,0,7,0,14,0,5,7,4,0,1,5,17,43,26,5,646,6,0,2,1,9,20,2,23,1,0
2220,1,0,0,0,1,0,0,4,0,0,0,1,2,2,0,1,2,99,0,1,0,0,3,1,1,0,0
2280,48,6,0,0,6,4,2,0,0,2,0,0,0,0,0,1,0,0,638,41,4,2,0,0,0,6,0
2403,70,6,0,0,10,6,8,0,7,1,0,0,0,0,0,1,1,0,48,630,5,1,0,0,1,10,0
2462,3,6,4,2,5,1,3,1,5,0,0,0,0,0,0,0,0,0,0,6,211,0,0,0,0,0,0
2522,7,0,1,0,15,2,5,4,4,1,1,4,11,5,1,6,8,0,0,3,4,698,1,0,12,1,0
2582,0,0,0,0,1,1,0,1,0,1,0,2,6,21,2,0,31,5,0,2,0,7,304,5,31,0,0
2583,1,0,0,0,6,0,1,0,0,0,1,10,6,1,0,4,10,6,0,0,0,6,10,1547,21,0,0
2585,0,0,6,0,1,0,1,2,1,0,0,7,8,9,2,3,6,2,0,0,1,4,19,4,335,0,0
2705,34,3,0,0,2,3,4,0,4,0,0,0,0,0,0,1,0,0,9,4,0,0,0,0,0,358,0
2905,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
