,text_logistic_regression,text_random_forest,text_kneighbours,text_decision_tree,text_neural_simple,text_neural_embedding,text_neural_simple_tfidf,text_neural_simple_re,text_neural_batch
10,0.3931357254290171,0.3933518005540166,0.1718120805369127,0.297820823244552,0.38716356107660455,0.4591381872213967,0.0,0.4076576576576576,0.0
40,0.5340314136125655,0.6455696202531646,0.2325581395348837,0.5055555555555555,0.606951871657754,0.7197452229299363,0.0,0.5984251968503937,0.0
50,0.7330960854092526,0.8602620087336245,0.6066350710900474,0.6808510638297872,0.8209459459459459,0.8382352941176471,0.0,0.8006535947712419,0.0
60,0.8913043478260869,0.9596774193548387,0.8321167883211679,0.8507462686567164,0.9838709677419355,0.875,0.0,0.9836065573770492,0.0
1140,0.6575342465753424,0.6823529411764706,0.4464285714285714,0.5917874396135265,0.7532133676092545,0.6890756302521008,0.0,0.75,0.0
1160,0.863914373088685,0.8355359765051396,0.6324884792626728,0.8238897396630934,0.919558359621451,0.9469453376205788,0.0,0.9224683544303798,0.0
1180,0.3195266272189349,0.4642857142857143,0.3310344827586207,0.3816793893129771,0.7846153846153846,0.5,0.0,0.7846153846153846,0.0
1280,0.6671490593342981,0.643609022556391,0.5477099236641222,0.5440771349862259,0.6644021739130435,0.7289325842696629,0.0,0.6648575305291723,0.0
1281,0.5086206896551724,0.5806451612903226,0.4078947368421052,0.4331210191082802,0.6194029850746269,0.6524822695035462,0.0,0.6113207547169811,0.0
1300,0.9184993531694696,0.8403263403263403,0.7382465057179162,0.922872340425532,0.9166666666666666,0.9584382871536524,0.0,0.920440636474908,0.0
1301,0.873015873015873,0.9789473684210528,0.923809523809524,0.8737864077669902,0.9743589743589743,0.937984496124031,0.0,0.9741379310344828,0.0
1302,0.7481662591687042,0.8492307692307692,0.7247386759581882,0.6820512820512821,0.9093484419263456,0.8457446808510638,0.0,0.9169054441260746,0.0
1320,0.7116564417177914,0.7599009900990099,0.5647279549718575,0.6106194690265486,0.8074656188605108,0.7513611615245009,0.0,0.7992202729044834,0.0
1560,0.7976804123711341,0.6893203883495146,0.857451403887689,0.6623876765083441,0.8461538461538461,0.8226221079691517,0.0,0.8484848484848485,0.0
1920,0.887624466571835,0.9210134128166916,0.8985736925515055,0.842026825633383,0.9122302158273381,0.8949579831932774,0.0,0.9097421203438396,0.0
1940,0.8098591549295775,0.85,0.6363636363636364,0.6791044776119403,0.9333333333333333,0.9236641221374046,0.0,0.9262295081967212,0.0
2060,0.7579214195183777,0.7387706855791962,0.8580375782881002,0.6739659367396593,0.7789473684210526,0.8252933507170795,0.0,0.7732079905992949,0.0
2220,0.7565217391304347,0.9487179487179488,0.8367346938775511,0.6605504587155964,0.9259259259259259,0.7536231884057971,0.0,0.9272727272727272,0.0
2280,0.783678756476684,0.7741935483870968,0.5401376146788991,0.7493670886075949,0.4940119760479042,0.8445378151260504,0.0,0.4836125273124544,0.0
2403,0.7540760869565217,0.7286063569682152,0.5613660618996799,0.672069825436409,0.7991803278688525,0.7213302752293578,0.0,0.7916666666666666,0.0
2462,0.6773049645390071,0.7791666666666667,0.5288753799392097,0.751131221719457,0.8586387434554974,0.7262773722627737,0.0,0.8648648648648649,0.0
2522,0.9150066401062416,0.8311057108140948,0.8163558106169297,0.7540777917189461,0.9132589838909542,0.95112285336856,0.0,0.9157372986369268,0.0
2582,0.7121588089330024,0.7816455696202531,0.8223350253807107,0.6031746031746031,0.6995412844036697,0.766497461928934,0.0,0.6966292134831461,0.0
2583,0.9725514660012476,0.8875772906127037,0.926070038910506,0.9195331695331695,0.9819314641744549,0.9849435382685068,0.088235294117647,0.9813316739265712,0.1199676161036284
2585,0.7468030690537084,0.8222996515679443,0.8263157894736842,0.5521628498727735,0.8191489361702128,0.7970660146699267,0.0,0.8382749326145552,0.0
2705,0.6216814159292036,0.5897435897435898,0.3811074918566775,0.5379310344827586,0.8666666666666667,0.6853146853146853,0.0,0.8601398601398601,0.0
2905,0.9465648854961832,0.9626865671641792,1.0,0.9347826086956522,0.9758064516129032,0.96,0.0,0.983739837398374,0.0
accuracy,0.7676455435342607,0.7615367630823582,0.6065356590858909,0.6913225877677192,0.7954662545079856,0.8166629866784426,0.088235294117647,0.794141458747332,0.1199676161036284
macro avg,0.7392253252309019,0.7703163896220353,0.6537009315415323,0.6737453148774576,0.8130644386304114,0.798530885931838,0.0035294117647058,0.8124164216825579,0.0044432450408751
weighted avg,0.7751945012589058,0.7685175684879879,0.6819255196008656,0.7011502160937653,0.8094573733888037,0.8237600512728718,0.0077854671280276,0.8086292012281817,0.0143922289135875
